Project_ID;Project_acronym;Project_name;Project_number_value;Project_funding_name;Project_coordinator_name;Project_coordinator_activity_keywords;Project_beginning_date;Project_end_date
FEAMP_PFEA800219DM0940001;QUAMPO;QUAlité des Milieux marins dans les zones POrtuaires en Méditerranée;PFEA800219DM0940001;Fonds Européen pour les Affaires Maritimes et la Pêche (FEAMP);La Rochelle Université;Research, sustainable development, coast, global change, multidisciplinary;2019-09-01;2022-12-31
CIFRE_2019/0030;QUALIPERTUIS;QUAlité du milieu LItorral dans la mer des PERTUIS;2019/0030;Convention Industrielle de Formation par la REcherche (CIFRE);La Rochelle Université;Coastline, Bio-monitoring, Biomarkers, Health status, Port area, Pertuis-Charentais;2019-06-03;2022-09-02
